id,title,title_doiorg,title_openalex,authors,authors_doiorg,authors_openalex,authors_count_doiorg,authors_count_openalex,venue,year,abstract_doiorg,abstract_openalex,abstract_semantic,tldr,primary_topic,keywords,concepts,reference_count,citation_count,is_open_access,Label
10,ASP Chef Creates Surveys.,,,,,,0,0,iclp,2025,,,,"The integration of SurveyJS, an open-source JavaScript library for building dynamic and interactive forms, into ASP Chef, a web-based framework for designing and executing Answer Set Programming (ASP) pipelines known as recipes, significantly expands the applicability of ASP Chef in domains requiring real-time data acquisition and interactive workflows.",,,,28,0,False,3
11,neXSim: A System for Explaining Nexus of Similarities.,,,,,,0,0,iclp,2025,,,,,,,,0,0,False,4
12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,,,,,,0,0,iclp,2025,,,,"It is argued that an iterative decision making pipeline enabling a delta robot to play certain families of turn-based mobile games provides potential for KR and robotics to be combined in creative ways, and offers itself as a general controlled environment where to experiment with forms of hybrid reasoning, while relieving from implementation details.",,,,5,0,False,4
13,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,,,,,,0,0,iclp,2025,,,,"The goal of this research work is to design a general framework to identify a grid-like structure in a given image and then detect and classify objects having different shapes and colours within the cells of the grid, which could be used to auto-detect and count the products placed on store shelves.",,,,8,0,False,2
14,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,,,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",,,0,0,iclp,2025,,,,This project will tackle the lack of trustworthiness in AI for ATFM by combining the logic programming paradigm Answer Set Programming (ASP) with explanations by solving and explaining real-world-sized instances of the European airspace.,,,,56,0,False,5
15,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,,,,,,0,0,iclp,2025,,,,,,,,0,0,False,2
16,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.","Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems","Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems",Aysu Bogatarkan,Aysu Bogatarkan,Aysu Bogatarkan,1,1,iclp,2025,"<jats:p>The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed.</jats:p>","The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed.","The multi-agent path finding (MAPF) problem is a combinatorial search problem that aims at finding paths for multiple agents in an environment without collisions, subject to constraints on the lengths of paths. The real-world applications of MAPF require flexible, lifelong, robust and explainable solutions. In this study, these challenges are being addressed.",,Robotic Path Planning Algorithms,"Path (computing), Minification, Subject (documents), Optimization problem, Robustness (evolution)","Path (computing), Mathematical optimization, Computer science, Mathematics, Algorithm, Minification, Subject (documents), Optimization problem, Robustness (evolution), Key (lock), Constraint (computer-aided design), Theoretical computer science",33,0,False,4
17,Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,,,"Son Tran, Edjard Mota, Artur d'Avila Garcez",,,0,0,iclp,2025,,,,"This research proposal aims to leverage new Neurosymbolic Artificial Intelligence approaches to build tools and explore the possibility of automating tasks in Digital Forensics with the main ingredients useful to accomplish this task being Commonsense and Qualitative reasoning, Answer Set Programming, and Large Language Models.",,,,29,0,False,5
18,A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,,,,,,0,0,iclp,2025,,,,"This paper introduces two tools that translate CNL into ASP and telingo input language, and a third tool that facilitates the definition of CNLs and their mappings into corresponding target formalisms, supporting the use of formal knowledge representation paradigms through structured natural language.",,,,42,0,False,5
19,Representing and Evaluating SBVR Specification via ASP.,,,"Murali Mohanan, Imran Sarwar Bajwa",,,0,0,iclp,2025,,,,"A novel approach based on Answer Set Programming (ASP) is proposed that offers a simple and declarative way of representing SBVR, a set of robust tools for conflict explanation, and high-performance solvers.",,,,43,0,False,4
20,On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,,,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",,,0,0,iclp,2025,,,,,,,,0,0,False,4
21,Resource Allocation with Cooperative Agents.,,,,,,0,0,iclp,2025,,,,"This work studies the problem of cooperative resource allocation in multi-agent systems, focusing on scenarios such as hospital networks, and devise ad-hoc optimization strategies for a static scenario, where resource needs are fixed over time.",,,,19,0,False,2
22,Enhancing Compilation-based ASP Solving.,,,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",,,0,0,iclp,2025,,,,A novel compilation technique is developed that enables lazy atom discovery during solving in Answer Set Programming and confirms the effectiveness of this approach.,,,,26,0,False,5
23,Enhancing Compilation-based ASP Solving with Postponed Atom Discovery.,,,"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",,,0,0,iclp,2025,,,,"This paper investigates how compilation-based technique can be enhanced by deferring the evaluation of rules generating large number of atoms, and so enabling atoms to be discovered lazily during solving, and demonstrates significant performance improvements over traditional compilation-based solvers.",,,,50,0,False,5
24,Toward Executing Datalog on Big Data Platforms - Extended Abstract.,,,Bernard LANG,,,0,0,iclp,2025,,,,,,,,0,0,False,3
25,PEG 2.0: Future-Gazing Through a Socio-Linguistic and Historical Lens.,,,,,,0,0,iclp,2025,,,,"The importance of taking into account holistic historical and socio-linguistic perspectives to inspire us in clarifying what ends the authors should pursue is discussed, which are also conducive to redirecting those AI efforts that stress imitative or dominating goals into the overall goal of complementing human intelligence.",,,,26,0,False,2
26,Learning ASP Domain-specific Heuristics using Transformers.,,,Marcello Balduccini,,,0,0,iclp,2025,,,,"This thesis proposes an approach to automate heuristic design for ASP problems by fine-tune an LLM to imitate an ASP solver branching decisions on two domains, namely Sokoban and Tower of Hanoi.",,,,43,0,False,5
27,Search-Guided Generation of Properties for Program Analyzers.,,,Yixuan Liang,,,0,0,iclp,2025,,,,"This work presents checkification, a simple, automatic technique for testing static analyzers, and introduces flexible search strategies for (C)LP programs, enabling expressive and configurable test case generation.",,,,36,0,False,4
28,Knowledge-Based Stable Roommates Problems.,Knowledge-Based Stable Roommates Problems,Knowledge-Based Stable Roommates Problems,Müge Fidan,Müge Fidan,Müge Fidan,1,1,iclp,2025,"<jats:p>The PhD studies of the author focus on a human-centered and computationally-challenging interdisciplinary problem of the Stable Roommates problem and its variations. Motivated by real-world applications, and by the fact that the Stable Roommates problem does not always admit a stable solution, the goal is to develop novel computational methods to solve these problems, that are not only computationally efficient but also yield solutions that are fair, personalized, and applicable in real-world to benefit humans.</jats:p>","The PhD studies of the author focus on a human-centered and computationally-challenging interdisciplinary problem of the Stable Roommates problem and its variations. Motivated by real-world applications, and by the fact that the Stable Roommates problem does not always admit a stable solution, the goal is to develop novel computational methods to solve these problems, that are not only computationally efficient but also yield solutions that are fair, personalized, and applicable in real-world to benefit humans.","The PhD studies of the author focus on a human-centered and computationally-challenging interdisciplinary problem of the Stable Roommates problem and its variations. Motivated by real-world applications, and by the fact that the Stable Roommates problem does not always admit a stable solution, the goal is to develop novel computational methods to solve these problems, that are not only computationally efficient but also yield solutions that are fair, personalized, and applicable in real-world to benefit humans.","The goal is to develop novel computational methods to solve the Stable Roommates problem that are not only computationally efficient but also yield solutions that are fair, personalized, and applicable in real-world to benefit humans.",Constraint Satisfaction and Optimization,"Focus (optics), Stable marriage problem, Stability (learning theory), Yield (engineering), Context (archaeology)","Focus (optics), Stable marriage problem, Computer science, Stability (learning theory), Mathematics, Mathematical economics, Yield (engineering), Theoretical computer science, Context (archaeology), Algorithm, Negotiation, Sociology",0,0,False,4
29,LLMASP: A Framework for Mitigating Hallucinations and Supporting Symbolic Reasoning in Large Language Models.,,,Xing Xu,,,0,0,iclp,2025,,,,,,,,0,0,False,4
30,Exploring Digital Twins integration with ASP and ASP Chef.,,,Fiona Rossette-Crake,,,0,0,iclp,2025,,,,"A method for mapping DTDL-defined digital twin models into ASP facts enables a seamless transition from high-level digital twin specifications to declarative reasoning and interactive visualization, offering a flexible framework for interpreting and exploring digital twin configurations.",,,,23,0,False,4
31,Formal Verification of Answer Set Programs Containing Advanced Language Constructs.,,,Rolf Schwitter,,,0,0,iclp,2025,,,,,,,,46,0,False,5
32,The Simple Generative Logic Grammar: A Tool for Teaching Logical Thinking Through Visual Research in Art and Design.,,,Susanna Berger,,,0,0,iclp,2025,,,,"The Simple Generative Logic Grammar is a newly developed, very simply structured type of logic grammar designed for generating structured visual compositions and its potential to play a central role in the educational framework Exploring Generative Logic that is currently developing.",,,,3,0,False,5
33,Answer Set Counting and its Applications to Network Reliability and System Biology.,Answer Set Counting and its Applications,Answer Set Counting and its Applications,Mohimenul Kabir,Mohimenul Kabir,Mohimenul Kabir,1,1,iclp,2025,,"We have focused on Answer Set Programming (ASP), more specifically, answer set counting, exploring both exact and approximate methodologies. We developed an exact ASP counter, sharpASP, which utilizes a compact encoding for propositional formulas, significantly enhancing efficiency compared to existing methods that often struggle with inefficient encodings. Our evaluations indicate that sharpASP outperforms current ASP counters on several benchmarks. In addition, we proposed an approximate ASP counter, named ApproxASP, a hashing-based counter integrating Gauss-Jordan elimination within the ASP solver, clingo. As a practical application, we employed ApproxASP for network reliability estimation, demonstrating superior performance over both traditional reliability estimators and #SAT-based methods.","We have focused on Answer Set Programming (ASP), more specifically, answer set counting, exploring both exact and approximate methodologies. We developed an exact ASP counter, sharpASP, which utilizes a compact encoding for propositional formulas, significantly enhancing efficiency compared to existing methods that often struggle with inefficient encodings. Our evaluations indicate that sharpASP outperforms current ASP counters on several benchmarks. In addition, we proposed an approximate ASP counter, named ApproxASP, a hashing-based counter integrating Gauss-Jordan elimination within the ASP solver, clingo. As a practical application, we employed ApproxASP for network reliability estimation, demonstrating superior performance over both traditional reliability estimators and #SAT-based methods.","An exact ASP counter is developed, sharpASP, which utilizes a compact encoding for propositional formulas, significantly enhancing efficiency compared to existing methods that often struggle with inefficient encodings, and an approximate ASP counter, named ApproxASP, a hashing-based counter integrating Gauss-Jordan elimination within the ASP solver, clingo.",Bayesian Modeling and Causal Inference,"Set (abstract data type), Computer science, Programming language","Set (abstract data type), Computer science, Programming language",42,0,False,4
34,Precise Exponential-Time Complexity of Non-Monotonic Reasoning.,,,Georg Gottlob,,,0,0,iclp,2025,,,,"This project investigates superpolynomial algorithms for non-monotonic reasoning problems, with a particular focus on propositional abduction, and is the first to launch a systematic attack on the exponential time complexity of a problem complete for the second level of the polynomial hierarchy.",,,,17,0,False,3
35,Towards Incorporating Normative Requirements In Autonomous Systems Using Datalog.,,,"Dorra Zaibi, Meriem Riahi, Faouzi Moussa",,,0,0,iclp,2025,,,,"This work addresses the formalization and analysis of normative (SLEEC) requirements—those capturing social, legal, ethical, empathetic, and cultural constraints— essential for ensuring compliance with such regulations under the EU AI Act.",,,,3,0,False,3
36,Visualizing Kripke Models in LogiKEy: the Case of SDL.,,,"N. Mansurov, D. Zhukov",,,0,0,iclp,2025,,,,,,,,0,0,False,3
37,Decompiling Language Models into Logic Programs.,,,,,,0,0,iclp,2025,,,,This paper sketches a strategy to take advantage of LLM’s capabilities with natural language processing while avoiding the risk of incorrect outputs and add LLMs to the materials and tools used to teach logic programming.,,,,18,0,False,4
38,Logic and Answer Set Programming in High School: Two Learning Unit Experiences.,,,Fabrizio Riguzzi,,,0,0,iclp,2025,,,,"Two learning units for teaching Answer Set Programming to high school students, with a focus on deductive Artificial Intelligence models, are presented, aiming to develop logical reasoning and problem-solving skills through declarative programming.",,,,10,0,False,5
39,Exploring Neurosymbolic Systems in Answer Set Programming with an Application to Waste Water Monitoring.,,,"Steffen Schieweck, Gabriele Kern-Isberner, Michael ten Hompel",,,0,0,iclp,2025,,,,"This paper presents LLMASP, a neurosymbolic tool, where the interaction between ASP and LLMs is driven by a YAML file specifying prompt templates and domain-specific background knowledge, combining syntactic structures extracted by LLMs and semantic aspects encoded in the knowledge base.",,,,30,0,False,5
40,Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,,,"Maria Daskolia, Jaume Piera, Karen Soacha",,,0,0,iclp,2025,,,,A collaborative co-design strategy with primary school teachers that aims to recognise and leverage teachers’ situated pedagogical knowledge while introducing core concepts of LT and declarative programming and presents a workshop for primary school teachers that puts the co-design framework into action.,,,,27,0,False,3
41,When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications - Abstract.,When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications,When Prolog Meets Generative Models: a New Approach for Managing Knowledge and Planning in Robotic Applications,"Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri","Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri","Enrico Saccon, Ahmet Tikna, Davide De Martini, Edoardo Lamon, Luigi Palopoli, Marco Roveri",6,6,iclp,2025,,"In this paper, we propose a robot oriented knowledge representation system based on the use of the Prolog language. Our framework hinges on a special organisation of Knowledge Base (KB) that enables: 1) its efficient population from natural language texts using semi-automated procedures based on Large Language Models (LLMs); 2) the seamless generation of temporal parallel plans for multi-robot systems through a sequence of transformations; 3) the automated translation of the plan into an executable formalism. The framework is supported by a set of open source tools and its functionality is shown with a realistic application.","In this paper, we propose a robot oriented knowledge representation system based on the use of the Prolog language. Our framework hinges on a special organisation of Knowledge Base (KB) that enables: 1) its efficient population from natural language texts using semi-automated procedures based on Large Language Models (LLMs); 2) the seamless generation of temporal parallel plans for multi-robot systems through a sequence of transformations; 3) the automated translation of the plan into an executable formalism. The framework is supported by a set of open source tools and its functionality is shown with a realistic application.",A robot oriented knowledge representation system based on the use of the Prolog language that enables the seamless generation of temporal parallel plans for multi-robot systems through a sequence of transformations.,AI-based Problem Solving and Planning,"Prolog, Computer science, Generative grammar, Artificial intelligence, Software engineering, Generative Design, Programming language, Human–computer interaction, Engineering","Prolog, Computer science, Generative grammar, Artificial intelligence, Software engineering, Generative Design, Programming language, Human–computer interaction, Engineering, Operations management, Metric (unit)",33,0,False,5
42,Teaching Prolog and Logic Programming with Jupyter Notebooks.,,,,,,0,0,iclp,2025,,,,"The use of a JupyterHub server is presented to teach Prolog and Logic Programming in the context of a University course in Artificial Intelligence to simplify how student exercises are distributed, collected, accessed, and automatically assessed.",,,,12,0,False,5
43,A Legal Logic Programming Framework for Autonomous Vehicles.,,,"VINEEL TUMMALA, DANIELA INCLEZAN",,,0,0,iclp,2025,,,,"A framework for representing and reasoning with traffic rules in Autonomous Vehicles (AVs) is presented, based on a fragment of the United Kingdom’s Highway Code (HC), which outlines legal requirements and good practices to fulfil reasonable duty of care.",,,,17,0,False,5
44,UserArmor: An extension for AppArmor.,,,"Mario Alviano, Pierpaolo Sestito",,,0,0,iclp,2025,,,,,,,,0,0,False,1
45,Global Type Inference for Java using Answer Set Programming.,,,Fabrizio Riguzzi,,,0,0,iclp,2025,,,,,,,,0,0,False,4
46,Platform for Introducing Logic Programming in Bulgarian Secondary Schools - IDEAS (Intelligent Data Educational Analysis System).,,,"Veneta Tabakova-Komsalova, Ivan Stoyanov, George Cholakov, Magdalena Maglizhanova",,,0,0,iclp,2025,,,,"An educational platform named IDEAS (Intelligent Data Educational Analysis System) has been developed and applied, utilizing C# and Prolog, and promotes the development of critical and creative thinking through Project-Based Learning.",,,,9,0,False,1
47,Research Summary: Explainable Artificial Intelligence in Answer Set Programming and Machine Learning.,Artificial intelligence-based prediction of second stage duration in labor: a multicenter retrospective cohort analysis,Artificial intelligence-based prediction of second stage duration in labor: a multicenter retrospective cohort analysis,Vladimir Lifschitz,"Xiaoqing Huang, Xiaodan Di, Suiwen Lin, Minrong Yao, Suijin Zheng, Shuyi Liu, Wayan Lau, Zhixin Ye, Zilian Wang, Bin Liu","Xiaoqing Huang, Di Xia, Suiwen Lin, Min Yao, Suijin Zheng, Shuyi Liu, Wayan Lau, Zhixin Ye, Zilian Wang, Bin Liu",10,10,iclp,2025,,"Background: Duration of second stage of labor is crucial for fetal delivery, but the optimal length of this stage remains controversial. While extending the duration of second stage can reduce primary cesarean delivery rates, it may increase maternal and neonatal morbidities as the duration progresses. We aimed to develop a personalized machine learning (ML) model to predict the possible second-stage duration. Methods: This multicenter, retrospective study was conducted at four tertiary hospitals in China from September 2013 to October 2022. Data from three hospitals in Guangdong Province was selected as derivation set, and a geographically independent dataset from Fujian Province as the external validation set. Singleton vaginal deliveries with term live birth in a cephalic position were included. The primary outcome was the duration of the second stage of labor. Since durations beyond 3 h were rare, we developed binary classification models with thresholds at 1 h and 2 h. After the optimal features selected by recursive feature elimination (RFE) method, four ML algorithms were employed to build the models. The best model would be selected with the predictive performance and interpreted with Shapley Additive exPlanations method. The study is registered in Clinical Trial (ChiCTR2400085338). Findings: Electronic medical records of 79,381 vaginal deliveries were obtained, and 63,401 deliveries meeting the inclusion criteria were included in the final analysis. Eight risk features were selected through the RFE process. Gradient boosting machine implemented by decision tree models achieved the best performance, yielding areas under the curve for 1-h and 2-h models of 0.808 (95% confidence interval [CI] 0.797-0.819) and 0.824 (95% CI 0.804-0.843) in the testing set, and 0.862 (95% CI 0.854-0.870) and 0.859 (95% CI 0.843-0.875) in the external validation set, respectively. Interpretation: An explainable and reliable ML model was developed to predict the probable second-stage duration, which could assist in individualized labor management. Factors such as first-stage duration and maternal age are potential predictors for the second stage. Funding: National Natural Science Foundation of China (No.82371689, N0.81771602), and National Key Research and Development Program of China (No.2021YFC2700703).","Summary Background Duration of second stage of labor is crucial for fetal delivery, but the optimal length of this stage remains controversial. While extending the duration of second stage can reduce primary cesarean delivery rates, it may increase maternal and neonatal morbidities as the duration progresses. We aimed to develop a personalized machine learning (ML) model to predict the possible second-stage duration. Methods This multicenter, retrospective study was conducted at four tertiary hospitals in China from September 2013 to October 2022. Data from three hospitals in Guangdong Province was selected as derivation set, and a geographically independent dataset from Fujian Province as the external validation set. Singleton vaginal deliveries with term live birth in a cephalic position were included. The primary outcome was the duration of the second stage of labor. Since durations beyond 3 h were rare, we developed binary classification models with thresholds at 1 h and 2 h. After the optimal features selected by recursive feature elimination (RFE) method, four ML algorithms were employed to build the models. The best model would be selected with the predictive performance and interpreted with Shapley Additive exPlanations method. The study is registered in Clinical Trial (ChiCTR2400085338). Findings Electronic medical records of 79,381 vaginal deliveries were obtained, and 63,401 deliveries meeting the inclusion criteria were included in the final analysis. Eight risk features were selected through the RFE process. Gradient boosting machine implemented by decision tree models achieved the best performance, yielding areas under the curve for 1-h and 2-h models of 0.808 (95% confidence interval [CI] 0.797–0.819) and 0.824 (95% CI 0.804–0.843) in the testing set, and 0.862 (95% CI 0.854–0.870) and 0.859 (95% CI 0.843–0.875) in the external validation set, respectively. Interpretation An explainable and reliable ML model was developed to predict the probable second-stage duration, which could assist in individualized labor management. Factors such as first-stage duration and maternal age are potential predictors for the second stage. Funding 10.13039/501100001809National Natural Science Foundation of China (No.82371689, N0.81771602), and 10.13039/501100012166National Key Research and Development Program of China (No.2021YFC2700703).","An explainable and reliable ML model was developed to predict the probable second-stage duration, which could assist in individualized labor management, which could assist in individualized labor management.",Maternal and Perinatal Health Interventions,"Medicine, Duration (music), Retrospective cohort study, Stage (stratigraphy), Cohort, Internal medicine","Medicine, Duration (music), Retrospective cohort study, Stage (stratigraphy), Cohort, Internal medicine, Literature, Art, Biology, Paleontology",40,0,False,5
48,ASP and PDDL+ Applications in Urban Traffic Distribution and Control.,,,"Sandra Castellanos-Paez, Francesco Percassi, Mauro Vallati",,,0,0,iclp,2025,,,,,,,,0,0,False,4
49,Early Validation of High-level Requirements on Cyber-Physical Systems.,Early Validation of High-level Requirements on Cyber-Physical Systems,Early Validation of High-level Requirements on Cyber-Physical Systems,Ondřej Vašíček,Ondřej Vašíček,Ondřej Vašíček,1,1,iclp,2025,,"The overarching, broad topic of my research are advancements in the area of safety-critical, cyber-physical systems (CPS) development with emphasis on validation and verification. The particular focus of my research is the early validation of high-level requirements on CPS. My current approach for tackling this problem is transforming the requirements into Event Calculus and subsequently reasoning about them using ASP solvers such as the grounding-free s(CASP). Below, I discuss my research, its current state, and the open issues that are still left to tackle. The first results of my work will be presented in a paper that was accepted for ICLP'24, which is my first paper in this area.","The overarching, broad topic of my research are advancements in the area of safety-critical, cyber-physical systems (CPS) development with emphasis on validation and verification. The particular focus of my research is the early validation of high-level requirements on CPS. My current approach for tackling this problem is transforming the requirements into Event Calculus and subsequently reasoning about them using ASP solvers such as the grounding-free s(CASP). Below, I discuss my research, its current state, and the open issues that are still left to tackle. The first results of my work will be presented in a paper that was accepted for ICLP'24, which is my first paper in this area.",My research is the early validation of high-level requirements on CPS by transforming the requirements into Event Calculus and subsequently reasoning about them using ASP solvers such as the grounding-free s(CASP).,Software Engineering Techniques and Practices,"Cyber-physical system, Computer science, Reliability engineering, Engineering, Operating system","Cyber-physical system, Computer science, Reliability engineering, Engineering, Operating system",0,0,False,1
50,Probabilistic Declarative Process Mining.,Probabilistic declarative process mining,Probabilistic declarative process mining,"Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza","Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza","Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza",4,4,iclp,2025,,,"In a variety of application domains, (business) processes are intrinsically uncertain. Surprisingly, only very few languages and techniques in BPM consider uncertainty as a first-class citizen. This is also the case in declarative processes, which typically require that process executions satisfy all the elicited process constraints. We counteract this limitation by introducing the notion of probabilistic process constraint. We show how to characterize the semantics of probabilistic process constraints through the interplay of time and probability, and how it is possible to reason over such constraints by loosely coupling temporal and probabilistic reasoning. We then rely on this approach to redefine several key process mining tasks in the light of uncertainty. First, we discuss how probabilistic constraints can be discovered from event data by employing, off-the-shelf, existing algorithms for declarative process discovery. Second, we study how to carry out monitoring, obtaining a setting where a monitored partial trace may be in multiple monitoring states at the same time, though with different probabilities. Third, we handle conformance checking both at the trace and event log level, in the latter case providing a notion of earth mover’s distance that suits with our context. All the presented techniques have been implemented in proof-of-concept prototypes. © 2022ElsevierLtd.Allrightsreserved.","This work shows how to characterize the semantics of probabilistic process constraints through the interplay of time and probability, and how it is possible to reason over such constraints by loosely coupling temporal and probabilistic reasoning.",Business Process Modeling and Analysis,"Probabilistic logic, Computer science, Process mining, TRACE (psycholinguistics), Event (particle physics), Process (computing), Context (archaeology), Semantics (computer science), Theoretical computer science, Probabilistic database, Constraint (computer-aided design), Programming language, Business process, Artificial intelligence, Machine learning, Data mining, Work in process, Business process management, Relational database, Mathematics","Probabilistic logic, Computer science, Process mining, TRACE (psycholinguistics), Event (particle physics), Process (computing), Context (archaeology), Semantics (computer science), Theoretical computer science, Probabilistic database, Constraint (computer-aided design), Programming language, Business process, Artificial intelligence, Machine learning, Data mining, Work in process, Business process management, Relational database, Mathematics, Physics, Business, Marketing, Biology, Paleontology, Database model, Quantum mechanics, Philosophy, Geometry, Linguistics",45,0,False,4
