title,authors,authors_count_token,authors_count_numberic,abstracts,venue,year_token,year,primary_topic,keywords,Label
exploring neurosymbolic systems answer set programming application waste water monitoring,steffen schieweck gabriele kern-isberner michael ten hompel,few_authors,0.30899710767568733,noabstract,iclp,year_post_2024,0.9722427416967726,robotic path planning algorithms,computer science answer set programming set abstract data type order exchange artificial intelligence programming language,5
simple expectations observations intelligent agents complexity study,sourav chakraborty avijeet ghosh sujata ghosh françois schwarzentruber,many_authors,0.852405814277758,public observation logic pol reasons agent expectations agent observations various real world situations expectations agents take shape based certain protocols world around remove possible scenarios exceptions observations match turn influences epistemic reasoning agents work study computational complexity satisfaction problems various fragments pol process also highlight inevitable link fragments wellstudied public announcement logic,kr,year_2022_2023,0.16402139163102464,logic reasoning knowledge,simple philosophy computer science process computing computational complexity theory work physics intelligent agent multiagent system artificial intelligence algorithm epistemology engineering,4
proceedings 38th international conference logic programming iclp 2022 technical communications doctoral consortium haifa israel 31st july 2022 6th august 2022,carlos areces diana costa,no_author,-1.3212290121305246,noabstract,iclp,year_2022_2023,-0.24008928340184937,advanced algebra logic,computer science,1
testing concurrent programs,valerio terragni,single_author,-0.7778203055284539,towards effective regression testing concurrent programs valerio terragni thesis 2017 xiii 129 pages illustrations 30 cm rapid advances multicore chip technology lead pervasive adoption sharedmemory concurrent programming software jointly executedread,iclp,year_2016_2017,-2.6647533335990934,software testing debugging techniques,computer science regression testing thread computing guard computer science synchronization alternating current concurrency shared memory code set theory software parallel computing programming language distributed computing software development software construction,1
determining action reversibility strips using answer set programming,wolfgang faber michael morak lukáš chrpa,few_authors,0.30899710767568733,abstract context planning reasoning actions change call action reversible effects reverted applying actions returning original state renewed interest area led several results context pddl language widely used describing planning tasks paper propose several solutions computational problem deciding reversibility action particular leverage existing translation pddl answer set programming asp use several different encodings tackle problem action reversibility strips fragment pddl use asp well epistemic logic programming elp extension asp epistemic operators compare contrast strengths weaknesses,iclp,year_2020_2021,-1.0483106334675973,logic reasoning knowledge,answer set programming leverage statistics computer science logic programming context archaeology set abstract data type programming language action physics action theory sociology artificial intelligence theoretical computer science epistemology,3
domainindependent instance generation classical planning,claudia grundke malte helmert gabriele röger,few_authors,0.30899710767568733,learningbased planning systems learn domainspecific knowledge helps solve unseen tasks planning domain purpose require diverse set training instances recent proposal formal specifications planning domains allows us exactly characterize instances legal domain automatically generate planning tasks formal specifications means translation answer set programming experimentally examine scalability approach suitability learningbased planning following setup learning track international planning competition,kr,year_post_2024,0.9722427416967726,aibased problem solving planning,automated planning scheduling set abstract data type scalability business system planning translation biology plan archaeology,5
teaching constraintbased modeling algorithms decision support prolog,huaiqing wang stephen liao lejian liao,few_authors,0.30899710767568733,noabstract,iclp,year_post_2024,0.5681320666638986,multiagent systems negotiation,negotiation computer science knowledge management process management constraint computeraided design hierarchy decision support system time constraint process computing management science constraint satisfaction operations research artificial intelligence business engineering economics programming language political science,4
relational graph convolutional networks learn sound rules,matthew morris david j. tena cucala bernardo cuenca grau ian horrocks,many_authors,0.852405814277758,graph neural networks gnns frequently used predict missing facts knowledge graphs kgs motivated lack explainability outputs models recent work aimed explain predictions using datalog widely used logicbased formalism however work restricted certain subclasses gnns paper consider one popular gnn architectures kgs rgcn provide two methods extract rules explain predictions sound sense fact derived rules also predicted gnn input dataset furthermore provide method verify certain classes datalog rules sound rgcn experiments train rgcns kg completion benchmarks able verify datalog rule sound models even though models often obtain high nearperfect accuracy raises concerns ability rgcn models generalise explainability predictions provide two variations training paradigm rgcn encourage learn sound rules find tradeoff model accuracy number learned sound rules,kr,year_post_2024,0.5681320666638986,music audio processing,computer science graph relational database theoretical computer science artificial intelligence information retrieval,4
correspondence monotonic maxsum gnns datalog,david tena cucala bernardo cuenca grau boris motik egor v. kostylev,many_authors,0.852405814277758,although significant interest applying machine learning techniques structured data expressivity ie description learned techniques still poorly understood paper study data transformations based graph neural networks gnns first note choice dataset encoded numeric form processable gnn obscure characterisation models expressivity argue canonical encoding provides appropriate basis second study expressivity monotonic maxsum gnns cover subclass gnns max sum aggregation functions show gnn one compute datalog program applying gnn dataset produces facts single round application programs rules dataset monotonic maxsum gnns sum unbounded number feature vectors result arbitrarily large feature values whereas rule application requires bounded number constants hence result shows unbounded summation monotonic maxsum gnns increase expressive power third sharpen result subclass monotonic max gnns use max aggregation function identify corresponding class datalog programs,kr,year_2022_2023,0.16402139163102464,advanced graph neural networks,datalog monotonic function computer science bounded function class philosophy inductive logic programming function biology theoretical computer science feature linguistics discrete mathematics artificial intelligence algorithm mathematics,4
contracted temporal equilibrium logic,pedro cabalar thomas eiter davide soldà,few_authors,0.30899710767568733,stable model semantics logic programs characterized equilibrium logic nonmonotonic formalism selects models monotonic intermediate logic hereandthere provides stable models arbitrary propositional formulas fruitfully extended different modal languages among theories syntax lineartime temporal logic ltl giving rise temporal equilibrium logic tel based temporal hereandthere tht tel models selected minimize truth among tht traces length paper consider selection addition may reduce number transitions trace intuitively forming contraction thus introduce contracted tht contracted tel top model selection logical basis resulting cstable models viewed stable models tel summarized smaller trace illustrate contraction several examples related logic programming explore several properties like relation tel ltl particular connection ltl property stuttering,kr,year_post_2024,0.5681320666638986,logic reasoning knowledge,computer science temporal logic programming language,3
improving candidate quality probabilistic logic models,alex m. andrew,single_author,-0.7778203055284539,noabstract,iclp,year_2018_2019,-1.8565319835333454,organizational management leadership,probabilistic logic computer science quality philosophy cybernetics probabilistic argumentation artificial intelligence risk analysis engineering business epistemology,3
extracting policies quantified answer set programs,martín diéguez igor stéphan,few_authors,-0.2344115989263833,quantified answer set programming qasp extends answer set programming asp allowing quantification propositional variables similar quantified boolean formulas qbf paper interpret models qasp formulas terms policies represent decisionmaking strategies determine existentially quantified variables assigned given conditions set universally quantified variables main contribution present algorithm policy extraction qasp semantics inspired equilibrium logic semantics general asp theories,iclp,year_post_2024,0.9722427416967726,logic reasoning knowledge,answer set programming stable model semantics set abstract data type semantics computer science propositional calculus propositional variable logic programming propositional formula,5
combining collective entity resolution repairing extended abstract,meghyn bienvenu gianluca cima víctor gutiérrez-basulto,few_authors,0.30899710767568733,paper considers problem querying dirty databases may contain erroneous facts multiple names entity data quality issues widely studied isolation contribution holistic framework jointly deduplicating repairing data replace framework follows declarative approach utilizing logical rules specify conditions pair entity references must merged logical constraints specify consistency requirements semantics defines space solutions consisting set merges perform set facts delete refined applying optimality criteria may multiple optimal solutions use classical notions possible certain query answers reason alternative solutions introduce novel notion informative answer obtain compact presentation query results perform detailed analysis data complexity central reasoning tasks recognizing optimal solutions informative possible certain answers three notions optimal solution general restricted specifications,kr,year_2022_2023,0.16402139163102464,data quality management,computer science consistency knowledge bases set abstract data type semantics computer science resolution logic isolation microbiology theoretical computer science logical consequence space punctuation logical framework artificial intelligence programming language,3
navigating querying answer sets hard really,dominik rusovac markus hecher martin gebser sarah alice gaggl johannes k. fichte,many_authors,1.3958145208798287,answer set programming popular declarative paradigm countless applications modeling solving combinatorial problems view program knowledge database compactly representing conditions solutions often interested reasoning solutions filtering answer sets heart questions brave cautious reasoning browsing answer sets combine restricting atoms answer sets meaningful atoms called facets belong brave answer sets cautious surprisingly precise computational complexity facet problems remained widely open far paper study complexity answer set facets establish tight results reasoning facets deciding upper lower bounds well exact number facets comparing facets facet reasoning seems natural problem formalism residing complexity families third level moreover study considers quantitative importance questions facets generalizing facets conjunctions disjunctions arbitrary queries complete results experimental evaluation,kr,year_post_2024,0.5681320666638986,topic modeling,computer science information retrieval data science world wide web,5
explanations unrealizability infinitestate safety shields,andoni rodríguez irfansha shaik davide corsi roy fox césar sánchez,many_authors,1.3958145208798287,safe reinforcement learning focuses developing optimal policies ensuring safety popular method address task shielding correctbyconstruction safety component synthetised logical specifications recently shield synthesis extended infinitestate domains continuous environments makes shielding applicable realistic scenarios however often shields might unrealizable specification inconsistent order address gap present method obtain simple unconditional conditional explanations witness unrealizability goes temporal formula unrolling bounded strategy search paper show different variants technique well applicability,kr,year_post_2024,0.9722427416967726,formal methods verification,shields component thermodynamics task project management shield bounded function simple philosophy,2
emersonlei mannapnueli games ltlf ppltl synthesis,daniel hausmann shufang zhu gianmarco parretti christoph weinhuber giuseppe de giacomo nir piterman,many_authors,1.9392232274818992,recently mannapnueli hierarchy used define temporal logics ltlf ppltl allow use finitetrace ltlfppltl techniques infinitetrace settings achieving expressiveness full ltl paper present first actual solvers reactive synthesis logics based games graphs leverage dfabased techniques ltlfppltl construct game arena start symbolic solver based emersonlei games reduces lowerclass properties guarantee safety higher ones recurrence persistence solving game introduce mannapnueli games natively embed mannapnueli objectives arena games solved composing solutions dag simpler emersonlei games resulting provably efficient approach implemented solvers practically evaluated performance range representative formulas results show mannapnueli games often offer significant advantages though universally indicating combining approaches could enhance practical performance,kr,year_post_2024,0.9722427416967726,formal methods verification,leverage statistics solver construct python library hierarchy range aeronautics outcome game theory,1
commonsense reasoningaided autonomous vehicle systems,keegan kimbrell,single_author,-0.7778203055284539,autonomous vehicle av systems developed strong reliance machine learning techniques machine learning approaches deep learning extremely effective tasks involve observation classification struggle comes performing higher level reasoning situations road research involves incorporating commonsense reasoning models use image data improve av systems allow av systems perform accurate reasoning also making adjustable explainable ethical paper discuss findings far motivate direction going forward,iclp,year_post_2024,0.5681320666638986,semantic web ontologies,commonsense reasoning computer science artificial intelligence,1
precise exponentialtime complexity nonmonotonic reasoning,georg gottlob,single_author,-0.7778203055284539,noabstract,iclp,year_post_2024,0.9722427416967726,logic reasoning knowledge,nonmonotonic logic computer science logic programming cognitive science artificial intelligence psychology,3
semantically guided scene generation via contextual reasoning algebraic measures,wenhao ding,single_author,-0.7778203055284539,noabstract,iclp,year_2022_2023,0.16402139163102464,notopic,nokeywords,2
cumulative scoringbased induction default theories,noauthor,no_author,-1.3212290121305246,noabstract,iclp,year_2018_2019,-1.8565319835333454,banking stability regulation efficiency,credit risk default credit card payment,1
theory revision goaldirected asp,maxime cannesson rupert m. pearse,no_author,-1.3212290121305246,noabstract,iclp,year_2020_2021,-0.6441999584347234,hemodynamic monitoring therapy,hemodynamics computer science cardiology medicine,5
lazy stream programming prolog,paul tarau jan wielemaker tom schrijvers,no_author,-1.3212290121305246,recent years stream processing become prominent approach incrementally handling large amounts data special support libraries many programming languages unfortunately support prolog far lacking existing approaches adhoc remedy situation present lazy stream generators unified prolog interface stateful computations finite infinite sequences data produced incrementally io andor algorithmically expose stream generators application programmer two ways 1 abstract sequence manipulation api convenient defining custom generators 2 idiomatic lazy lists compatible many existing list predicates define algebra stream generator operations extends prolog via embedded language interpreter provides compact notation composing generators supports moving two isomorphic representations special instance introduce answer stream generators encapsulate work coroutining firstclass logic engines support interoperation forward recursive andstreams backtrackinggenerated orstreams keywords lazy stream generators lazy lists firstclass logic engines stream combinators andstream orstream interoperation prolog extensions,iclp,year_2018_2019,-1.4524213085004714,logic programming type systems,prolog datalog logic programming programmer stream processing constraint programming generator circuit theory arity lazy evaluation,4
asp chef draw expand,mario alviano luis angel rodriguez reiners,few_authors,-0.2344115989263833,asp chef versatile tool built upon principles answer set programming asp offering unique approach problemsolving concept asp recipes paper explore two key components asp chef graph ingredient one extension mechanisms registering new ingredients graph ingredient serves fundamental feature within asp chef allowing users interpret instances designed predicate construct graphs data capability asp chef facilitates visualization analysis complex relationships structures inherent various domains furthermore asp chef offers flexible extension mechanism empowers users register new recipes custom ingredients custom ingredients defined sequences mappings interpretations interpretations stored locally within local storage browser enables users expand capabilities asp chef suit specific needs use cases fostering collaborative environment users share reuse custom ingredients seamlessly notably addition new ingredients impose requirements utilization recipes employ underscoring modular interoperable design asp chef,kr,year_post_2024,0.5681320666638986,culinary culture tourism,computer science,5
product configuration answer set programming,seemran mishra,single_author,-0.7778203055284539,preliminary work configuration knowledge representation serves foundation building interactive configuration systems answer set programming asp major concepts product configuration problem identified discussed bike configuration example fact format developed expressing product knowledge domainspecific mapped systems finally domainindependent asp encoding provided represents concepts configuration problem,iclp,year_2020_2021,-0.6441999584347234,logic reasoning knowledge,answer set programming computer science set abstract data type domain mathematical analysis product mathematics representation politics knowledge representation reasoning theoretical computer science programming language artificial intelligence mathematics,4
implementation nonmonotonic logic embedded computer motorglider,josé luis vilchis medina pierre siegel vincent risch andrei doncescu,many_authors,0.852405814277758,article present implementation nonmonotonic reasoning embedded system part autonomous motorglider simulates piloting decisions airplane real pilot must take care information arising cockpit airspeed altitude variometer compass also outside cabin throughout flight pilot constantly communication control tower follow orders airspace regulation respect addition control tower sends orders pilot emergency may violate orders airspace regulations solve problem eg emergency landing hand climate changes constantly wind snow hail affect sensors cases easily lead contradictions switching reasoning uncertainty pilot must make decisions carry flight objective implementation validate nonmonotonic model allows solve question incomplete contradictory information formalize problem using default logic nonmonotonic logic allows find fixedpoints face contradictions implementation prolog language used embedded computer running 1 ghz single core 512 mb ram 08 watts energy consumption,iclp,year_2018_2019,-1.4524213085004714,logic reasoning knowledge,airspeed computer science glider crutch airplane cockpit toolbox aeronautics simulation control engineering engineering programming language aerospace engineering,2
aspmc algebraic answer set counter,thomas eiter markus hecher rafael kiesel,few_authors,0.30899710767568733,last decade increasing interest extensions answer set programming asp cater quantitative information weights probabilities wide range quantitative reasoning tasks asp logic programming among probabilistic inference parameter learning neurosymbolic setting expressed algebraic answer set counting aasc tasks ie weighted model counting asp weights calculated semiring makes makes efficient solvers aasc desirable article present new solver aasc pushes limits efficient solvability notably provides improved performance compared state art probabilistic inference exploiting three insights gained thorough theoretical investigations work namely consider knowledge compilation step aasc pipeline underlying logical theory specified answer set program converted tractable circuit representation aasc feasible polynomial time first provide detailed comparison different approaches knowledge compilation programs revealing translation propositional formulas followed compilation sddnnf seems favorable second study translation propositional formulas proceed result efficient compilation leads second third insight namely novel way breaking positive cyclic dependencies program called tpunfolding improvement clark completion procedure used transform programs without positive cyclic dependencies propositional formulas improvements tailored towards efficient knowledge compilation empirical evaluation reveals three advancements contribute success tpunfolding improves performance significantly allowing us handle cyclic instances better,iclp,year_2020_2021,-0.6441999584347234,logic reasoning knowledge,probabilistic logic computer science answer set programming propositional calculus set abstract data type inference range aeronautics semiring theoretical computer science propositional formula algebraic number programming language artificial intelligence mathematics propositional variable discrete mathematics,3
categorytheoretic perspective approximation fixpoint theory,samuele pollaci,single_author,-0.7778203055284539,approximation fixpoint theory aft founded early 2000s denecker marek truszczynski abstract algebraic framework study semantics nonmonotonic logics since early successes potential aft unifying semantic framework become widely recognised interest aft gradually increased applications ranging foundations database theory abstract argumentation nonmonotonic constructive processes occur many areas computer science together associated semantic structures successfully studied using aft greatly simplifies characterizations goal research take step towards lifting aft general framework constructive knowledge,iclp,year_post_2024,0.5681320666638986,advanced algebra logic,perspective graphical mathematics computer science mathematical economics algebra field pure mathematics artificial intelligence,4
dialectical reconciliation via structured argumentative dialogues,stylianos loukas vasileiou ashwin kumar william yeoh tran cao son francesca toni,many_authors,1.3958145208798287,present novel framework designed extend model reconciliation approaches commonly used humanaware planning enhanced humanai interaction adopting structured argumentationbased dialogue paradigm framework enables dialectical reconciliation address knowledge discrepancies explainer ai agent explainee human user goal explainee understand explainers decision formally describe operational semantics proposed framework providing theoretical guarantees evaluate frameworks efficacy wild via computational humansubject experiments findings suggest framework offers promising direction fostering effective humanai interactions domains explainability important,kr,year_post_2024,0.5681320666638986,conflict management negotiation,argumentative dialectic computer science argumentation theory epistemology programming language philosophy,1
exploring digital twins integration asp asp chef,fiona rossette-crake,single_author,-0.7778203055284539,category digital oratory brings together numerous new speaking practices mediated digital interface contribution outlines holistic approach digital oratory locating respect traditional eg predigital andor offline formats well examining differences new digital practices face many general communication guides case made linguisticinformed approach teaching oratory based notably theory developed within framework systemic functional linguistics various levels analysis considered participant framework lexicogrammar multimodal resources focus placed esp already considerable research specific formats article concludes discussion four examples taken context workplace representing types practices prove pertinent applied language business communication curricula,iclp,year_post_2024,0.9722427416967726,discourse analysis language studies,focus optics context archaeology face sociological concept discourse analysis participant observation focus group,4
reasoning restricted statistical statements probabilistic answer set programming complexity algorithms,damiano azzolini markus hecher,few_authors,-0.2344115989263833,statistical statements expressive tool representing statistical information domain interest recently statements given meaning context probabilistic answer set programming pasp allowing one encode properties like x elements domain feature although computational complexity different tasks pasp well known complexity restricted programs composed statistical statements probabilistic facts studied first contribution address problem confirming even seemingly restricted cases complexity high indeed even restriction lose expressiveness reaching higher levels polynomial hierarchy mitigate high complexities focus structure programs thereby design novel structureguided reductions demonstrating one efficiently answer queries along treewidth decompositions obtain precise upper bounds show reasonable assumptions complexity theory significantly improve give matching lower bounds,kr,year_post_2024,0.9722427416967726,logic reasoning knowledge,probabilistic logic answer set programming set abstract data type matching statistics context archaeology domain mathematical analysis computational complexity theory probabilistic analysis algorithms feature linguistics,4
fixpoint characterizations disjunctive hybrid mknf knowledge bases,spencer killen jia-huai you,few_authors,-0.2344115989263833,logic hybrid mknf minimal knowledge negation failure powerful knowledge representation language elegantly pairs asp answer set programming ontologies disjunctive rules desirable extension normal rulebased reasoning typically semantic frameworks designed normal knowledge bases need substantial restructuring support disjunctive rules alternatively one may lift characterizations normal rules support disjunctive rules inducing collection normal knowledge bases body single atom head work refer set normal knowledge bases headcut disjunctive knowledge base question arises whether semantics disjunctive hybrid mknf knowledge bases characterized using fixpoint constructions headcuts earlier shown headcuts paired fixpoint operators capture twovalued mknf models disjunctive hybrid mknf knowledge bases threevalued semantics extends twovalued semantics ability express partial information work present fixpoint construction leverages headcuts using operator iteratively captures threevalued models hybrid mknf knowledge bases disjunctive rules characterization also captures partial stable models disjunctive logic programs since program expressed disjunctive hybrid mknf knowledge base empty ontology elaborate relationship characterization approximators aft approximation fixpoint theory normal hybrid mknf knowledge bases,iclp,year_2020_2021,-0.6441999584347234,logic reasoning knowledge,knowledge base computer science disjunctive normal form negation knowledge representation reasoning characterization materials science mathematics set abstract data type fixed point theoretical computer science artificial intelligence algorithm programming language,1
natural language generation nonexpert users,van duc nguyen tran cao son enrico pontelli,few_authors,0.30899710767568733,motivated difficulty presenting computational results especially results collection atoms logical language users proficient computer programming andor logical representation results propose system automatic generation natural language descriptions applications targeting mainstream users differently many earlier systems aim proposed system employ templates generation task assumes exist natural language sentences application domain uses repository natural language description require however large corpus often required machine learning approaches systems consist two main components first one aims analyzing sentences constructs grammatical framework gf given sentences implemented using stanford parser answer set program second component sentence construction relies gf library paper includes two use cases demostrate capability system sentence construction done via gf paper includes use case evaluation showing proposed system could also utilized addressing challenge create abstract wikipedia recently discussed bluesky session 2018 international semantic web conference,iclp,year_2018_2019,-1.4524213085004714,natural language processing techniques,computer science natural language processing sentence parsing natural language component thermodynamics artificial intelligence session web analytics logical form natural language generation domain mathematical analysis set abstract data type programming language natural language programming task project management universal networking language world wide web comprehension approach,5
treewidth nonground answer set solving alliance problems graphs,bernhard bliem michael morak marius moldovan stefan woltran,many_authors,0.852405814277758,paper aim study performance modern answer set programming asp solvers influenced treewidth input program investigate consequences relationship first perform experimental evaluation shows solving performance heavily influenced treewidth given ground input programs otherwise uniform size construction observation leads important question asp namely design encodings treewidth resulting ground program remains small end study two classes disjunctive programs namely guarded connectionguarded programs order investigate classes formalize grounding process using mso transductions main results show classes guarantee treewidth program grounding depends treewidth maximum degree case connectionguarded programs input instance terms parameterized complexity findings yield corresponding fpt results answerset existence bounded treewidth also degree connectionguarded programs input instance show bounding treewidth alone leads nphardness data complexity connectionguarded programs indicates two classes fundamentally different finally show classes data complexity remains hard general case asp,iclp,year_2016_2017,-2.2606426585662196,logic reasoning knowledge,treewidth parameterized complexity bounding overwatch computer science set abstract data type connection principal bundle bounded function theoretical computer science mathematics algorithm artificial intelligence programming language pathwidth graph,2
proceedings 21st international conference principles knowledge representation reasoning kr 2024 hanoi vietnam november 28 2024,noauthor,no_author,-1.3212290121305246,noabstract,kr,year_post_2024,0.5681320666638986,semantic web ontologies,computer science representation politics knowledge representation reasoning analytic reasoning management science casebased reasoning artificial intelligence political science engineering law,1
knowledge authoring factual english,yuheng wang giorgian borca-tasciuc nikhil goel paul fodor michael kifer,many_authors,1.3958145208798287,knowledge representation reasoning krr systems represent knowledge collections facts rules like databases krr systems contain information domains human activities like industrial enterprises science business krrs represent complex concepts relations query manipulate information sophisticated ways unfortunately krr technology hindered fact specifying requisite knowledge requires skills domain experts professional knowledge engineers hard find one solution could extract knowledge english text number works attempted opensesame googles sling etc unfortunately present extraction logical facts unrestricted natural language still inaccurate used reasoning restricting grammar language socalled controlled natural language cnl hard users learn use nevertheless recent cnlbased approaches knowledge authoring logic machine kalm shown high accuracy compared others natural question extent cnl restrictions lifted paper address issue transplanting kalm framework neural natural language parser mstanza limit attention authoring facts queries therefore focus call factual english statements authoring types knowledge rules considered followup work turns neural network based parsers problems mistakes make range partofspeech tagging lemmatization dependency errors present number techniques combating problems test new system kalmfl ie kalm factual language number benchmarks show kalmfl achieves correctness excess 95,iclp,year_2022_2023,-0.24008928340184937,natural language processing techniques,computer science natural language parsing knowledge representation reasoning domain knowledge artificial intelligence information extraction natural language processing grammar question answering linguistics,3
explaining image classifiers,hana chockler joseph y. halpern,few_authors,-0.2344115989263833,focus explaining image classifiers taking work mothilal et al 2021 mmts point departure observe although mmts claim using definition explanation proposed halpern 2016 quite roughly speaking halperns definition necessity clause sufficiency clause mmts replace necessity clause requirement show implies halperns definition also allows agents restrict set options considered difference may seem minor show nontrivial impact explanations also show essentially without change halperns definition handle two issues proved difficult approaches explanations absence example image classifier tumors outputs tumor explanations rare events tumors,kr,year_post_2024,0.5681320666638986,anomaly detection techniques applications,computer science artificial intelligence image mathematics pattern recognition psychology computer vision,5
entity set expansion web via asp,weronika adrian paweł caryk,few_authors,-0.2344115989263833,noabstract,iclp,year_2016_2017,-2.2606426585662196,data mining algorithms applications,computer science set abstract data type expander graph programming language theoretical computer science,5
encoding choice logics asp,luca viganò,single_author,-0.7778203055284539,noabstract,iclp,year_2020_2021,-1.0483106334675973,logic reasoning knowledge,programming language predicate mathematical logic computer science confusion predicate logic automated theorem proving natural deduction proof assistant quantifier linguistics calculus dental theoretical computer science mathematics description logic mathematical proof artificial intelligence psychology,4
